Rk,School,G,W,L,W-L%,SRS,SOS,Home%,Road%,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,27,23,4,0.852,6.1,-8.46,100.00,55.56,2096,1634,72.5,107,0.351,0.372,0.552,51.8,65.6,13.7,9.2,0.526,16.5,31.7,0.236
2,Air Force,25,5,20,0.2,-13.04,0.17,27.27,9.09,1468,1798,63.9,91.9,0.309,0.45,0.547,40.1,59,11.1,8,0.521,21.2,15.3,0.214
3,Akron,23,15,8,0.652,2.79,-1.02,90.00,50.00,1798,1660,70.1,110.2,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.52,14.3,31,0.23
4,Alabama A&M,15,6,9,0.4,-19.25,-15.39,71.43,12.50,950,1008,70.1,88.9,0.318,0.329,0.475,49.8,47.6,7.7,9.1,0.448,18.6,28.1,0.199
5,Alabama-Birmingham,29,22,7,0.759,5.84,-3.79,88.24,60.00,2105,1748,68.9,105.3,0.314,0.272,0.524,51.7,39.1,11.6,12.1,0.493,13.2,29.5,0.219
6,Alabama State,18,4,14,0.222,-24.74,-17.41,33.33,11.11,1156,1288,72.4,88.8,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277
7,Alabama NCAA,30,24,6,0.8,20.16,10.36,92.31,70.00,2387,2093,75.1,105.9,0.286,0.471,0.542,51,51.1,11.5,10.6,0.513,16,31.5,0.206
8,Albany (NY),16,7,9,0.438,-3.72,-4.41,44.44,33.33,1110,1099,69.7,99.6,0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247
9,Alcorn State,19,6,13,0.316,-19.97,-10.45,57.14,18.18,1256,1437,71.3,92.8,0.34,0.34,0.488,47.8,40.7,10.6,5,0.444,17.7,29.7,0.247
10,American,10,4,6,0.4,-2.46,2.04,50.00,33.33,691,736,67.5,97.5,0.268,0.427,0.55,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189
